Ortho_No	Organism1	LncRNA1	LncRNA_Id1	Organism2	LncRNA2
Ortho10514	Gorilla	TCONS_00025218	gor_TCONS_00025218	Human	TCONS_00057383
Ortho10515	Gorilla	TCONS_00025219	gor_TCONS_00025219	Human	TCONS_00057382
Ortho10516	Gorilla	TCONS_00025219	gor_TCONS_00025219	Human	TCONS_00057383
Ortho10517	Gorilla	TCONS_00025221	gor_TCONS_00025221	Human	TCONS_00057384
Ortho10518	Gorilla	TCONS_00025237	gor_TCONS_00025237	Human	TCONS_00057406
Ortho10519	Gorilla	TCONS_00025261	gor_TCONS_00025261	Human	TCONS_00057459
Ortho10520	Gorilla	TCONS_00025261	gor_TCONS_00025261	Human	TCONS_00061526
Ortho10521	Gorilla	TCONS_00025261	gor_TCONS_00025261	Human	TCONS_00061527
Ortho10522	Gorilla	TCONS_00025370	gor_TCONS_00025370	Human	TCONS_00060884
Ortho10523	Gorilla	TCONS_00025426	gor_TCONS_00025426	Human	TCONS_00060746
Ortho10524	Gorilla	TCONS_00025426	gor_TCONS_00025426	Human	TCONS_00060753
Ortho10525	Gorilla	TCONS_00025427	gor_TCONS_00025427	Human	TCONS_00060746
Ortho10526	Gorilla	TCONS_00025427	gor_TCONS_00025427	Human	TCONS_00060753
Ortho10527	Gorilla	TCONS_00025428	gor_TCONS_00025428	Human	TCONS_00060747
Ortho10528	Gorilla	TCONS_00025428	gor_TCONS_00025428	Human	TCONS_00060748
Ortho10529	Gorilla	TCONS_00025428	gor_TCONS_00025428	Human	TCONS_00060749
Ortho10530	Gorilla	TCONS_00025428	gor_TCONS_00025428	Human	TCONS_00060750
Ortho10531	Gorilla	TCONS_00025428	gor_TCONS_00025428	Human	TCONS_00060751
Ortho10532	Gorilla	TCONS_00025429	gor_TCONS_00025429	Human	TCONS_00060747
Ortho10533	Gorilla	TCONS_00025429	gor_TCONS_00025429	Human	TCONS_00060748
Ortho10534	Gorilla	TCONS_00025429	gor_TCONS_00025429	Human	TCONS_00060749
Ortho10535	Gorilla	TCONS_00025429	gor_TCONS_00025429	Human	TCONS_00060750
Ortho10536	Gorilla	TCONS_00025429	gor_TCONS_00025429	Human	TCONS_00060751
Ortho10537	Gorilla	TCONS_00025430	gor_TCONS_00025430	Human	TCONS_00060755
Ortho10538	Gorilla	TCONS_00025431	gor_TCONS_00025431	Human	TCONS_00060746
Ortho10539	Gorilla	TCONS_00025431	gor_TCONS_00025431	Human	TCONS_00060753
Ortho10540	Gorilla	TCONS_00025432	gor_TCONS_00025432	Human	TCONS_00060747
Ortho10541	Gorilla	TCONS_00025432	gor_TCONS_00025432	Human	TCONS_00060748
Ortho10542	Gorilla	TCONS_00025432	gor_TCONS_00025432	Human	TCONS_00060749
Ortho10543	Gorilla	TCONS_00025432	gor_TCONS_00025432	Human	TCONS_00060750
Ortho10544	Gorilla	TCONS_00025432	gor_TCONS_00025432	Human	TCONS_00060751
Ortho10545	Gorilla	TCONS_00025466	gor_TCONS_00025466	Human	TCONS_00060690
Ortho10546	Gorilla	TCONS_00025477	gor_TCONS_00025477	Human	TCONS_00060669
Ortho10547	Gorilla	TCONS_00025508	gor_TCONS_00025508	Human	TCONS_00060576
Ortho10548	Gorilla	TCONS_00025508	gor_TCONS_00025508	Human	TCONS_00060579
Ortho10549	Gorilla	TCONS_00025549	gor_TCONS_00025549	Human	TCONS_00060498
Ortho10550	Gorilla	TCONS_00025692	gor_TCONS_00025692	Human	TCONS_00060148
Ortho10551	Gorilla	TCONS_00025692	gor_TCONS_00025692	Human	TCONS_00060149
Ortho10552	Gorilla	TCONS_00025692	gor_TCONS_00025692	Human	TCONS_00060150
Ortho10553	Gorilla	TCONS_00025693	gor_TCONS_00025693	Human	TCONS_00060148
Ortho10554	Gorilla	TCONS_00025693	gor_TCONS_00025693	Human	TCONS_00060149
Ortho10555	Gorilla	TCONS_00025693	gor_TCONS_00025693	Human	TCONS_00060150
Ortho10556	Gorilla	TCONS_00025724	gor_TCONS_00025724	Human	TCONS_00060048
Ortho10557	Gorilla	TCONS_00025760	gor_TCONS_00025760	Human	TCONS_00057071
Ortho10558	Gorilla	TCONS_00025791	gor_TCONS_00025791	Human	TCONS_00059894
Ortho10559	Gorilla	TCONS_00025804	gor_TCONS_00025804	Human	TCONS_00059860
Ortho10560	Gorilla	TCONS_00025804	gor_TCONS_00025804	Human	TCONS_00059861
Ortho10561	Gorilla	TCONS_00025804	gor_TCONS_00025804	Human	TCONS_00059862
Ortho10562	Gorilla	TCONS_00025847	gor_TCONS_00025847	Human	TCONS_00059757
Ortho10563	Gorilla	TCONS_00025847	gor_TCONS_00025847	Human	TCONS_00059758
Ortho10564	Gorilla	TCONS_00025861	gor_TCONS_00025861	Human	TCONS_00059707
Ortho10565	Gorilla	TCONS_00025861	gor_TCONS_00025861	Human	TCONS_00059708
Ortho10566	Gorilla	TCONS_00025861	gor_TCONS_00025861	Human	TCONS_00059709
Ortho10567	Gorilla	TCONS_00025861	gor_TCONS_00025861	Human	TCONS_00059710
Ortho10568	Gorilla	TCONS_00025861	gor_TCONS_00025861	Human	TCONS_00059711
Ortho10569	Gorilla	TCONS_00025871	gor_TCONS_00025871	Human	TCONS_00059686
Ortho10570	Gorilla	TCONS_00025872	gor_TCONS_00025872	Human	TCONS_00059683
Ortho10571	Gorilla	TCONS_00025873	gor_TCONS_00025873	Human	TCONS_00059667
Ortho10572	Gorilla	TCONS_00025902	gor_TCONS_00025902	Human	TCONS_00061166
Ortho10573	Gorilla	TCONS_00025992	gor_TCONS_00025992	Human	TCONS_00061341
Ortho10574	Gorilla	TCONS_00026010	gor_TCONS_00026010	Human	TCONS_00061397
Ortho10575	Gorilla	TCONS_00026010	gor_TCONS_00026010	Human	TCONS_00061398
Ortho10576	Gorilla	TCONS_00026022	gor_TCONS_00026022	Human	TCONS_00061420
Ortho10577	Gorilla	TCONS_00026025	gor_TCONS_00026025	Human	TCONS_00061428
Ortho10578	Gorilla	TCONS_00026028	gor_TCONS_00026028	Human	TCONS_00061433
Ortho10579	Gorilla	TCONS_00026028	gor_TCONS_00026028	Human	TCONS_00061434
Ortho10580	Gorilla	TCONS_00026028	gor_TCONS_00026028	Human	TCONS_00061435
Ortho10581	Gorilla	TCONS_00026028	gor_TCONS_00026028	Human	TCONS_00061436
Ortho10582	Gorilla	TCONS_00026028	gor_TCONS_00026028	Human	TCONS_00061437
Ortho10583	Gorilla	TCONS_00026029	gor_TCONS_00026029	Human	TCONS_00061433
Ortho10584	Gorilla	TCONS_00026029	gor_TCONS_00026029	Human	TCONS_00061434
Ortho10585	Gorilla	TCONS_00026029	gor_TCONS_00026029	Human	TCONS_00061435
Ortho10586	Gorilla	TCONS_00026029	gor_TCONS_00026029	Human	TCONS_00061436
Ortho10587	Gorilla	TCONS_00026029	gor_TCONS_00026029	Human	TCONS_00061437
Ortho10588	Gorilla	TCONS_00026034	gor_TCONS_00026034	Human	TCONS_00061447
Ortho10589	Gorilla	TCONS_00026034	gor_TCONS_00026034	Human	TCONS_00061448
Ortho10590	Gorilla	TCONS_00026066	gor_TCONS_00026066	Human	TCONS_00061547
Ortho10591	Gorilla	TCONS_00026066	gor_TCONS_00026066	Human	TCONS_00061548
Ortho10592	Gorilla	TCONS_00026066	gor_TCONS_00026066	Human	TCONS_00061549
Ortho10593	Gorilla	TCONS_00026066	gor_TCONS_00026066	Human	TCONS_00061550
Ortho10594	Gorilla	TCONS_00026066	gor_TCONS_00026066	Human	TCONS_00061551
Ortho10595	Gorilla	TCONS_00026066	gor_TCONS_00026066	Human	TCONS_00061552
Ortho10596	Gorilla	TCONS_00026067	gor_TCONS_00026067	Human	TCONS_00061547
Ortho10597	Gorilla	TCONS_00026067	gor_TCONS_00026067	Human	TCONS_00061548
Ortho10598	Gorilla	TCONS_00026067	gor_TCONS_00026067	Human	TCONS_00061549
Ortho10599	Gorilla	TCONS_00026067	gor_TCONS_00026067	Human	TCONS_00061550
Ortho10600	Gorilla	TCONS_00026067	gor_TCONS_00026067	Human	TCONS_00061551
Ortho10601	Gorilla	TCONS_00026067	gor_TCONS_00026067	Human	TCONS_00061552
Ortho10602	Gorilla	TCONS_00026068	gor_TCONS_00026068	Human	TCONS_00061547
Ortho10603	Gorilla	TCONS_00026068	gor_TCONS_00026068	Human	TCONS_00061548
Ortho10604	Gorilla	TCONS_00026068	gor_TCONS_00026068	Human	TCONS_00061549
Ortho10605	Gorilla	TCONS_00026068	gor_TCONS_00026068	Human	TCONS_00061550
Ortho10606	Gorilla	TCONS_00026068	gor_TCONS_00026068	Human	TCONS_00061551
Ortho10607	Gorilla	TCONS_00026068	gor_TCONS_00026068	Human	TCONS_00061552
Ortho10608	Gorilla	TCONS_00026101	gor_TCONS_00026101	Human	TCONS_00057024
Ortho10609	Gorilla	TCONS_00026102	gor_TCONS_00026102	Human	TCONS_00057024
Ortho10610	Gorilla	TCONS_00026144	gor_TCONS_00026144	Human	TCONS_00056913
Ortho10611	Gorilla	TCONS_00026147	gor_TCONS_00026147	Human	TCONS_00056910
Ortho10612	Gorilla	TCONS_00026261	gor_TCONS_00026261	Human	TCONS_00056637
Ortho10613	Gorilla	TCONS_00026261	gor_TCONS_00026261	Human	TCONS_00056638
Ortho10614	Gorilla	TCONS_00026417	gor_TCONS_00026417	Human	TCONS_00056303
Ortho10615	Gorilla	TCONS_00026428	gor_TCONS_00026428	Human	TCONS_00056276
Ortho10616	Gorilla	TCONS_00026429	gor_TCONS_00026429	Human	TCONS_00056275
Ortho10617	Gorilla	TCONS_00026551	gor_TCONS_00026551	Human	TCONS_00055977
Ortho10618	Gorilla	TCONS_00026552	gor_TCONS_00026552	Human	TCONS_00055977
Ortho10619	Gorilla	TCONS_00026578	gor_TCONS_00026578	Human	TCONS_00055924
Ortho10620	Gorilla	TCONS_00026580	gor_TCONS_00026580	Human	TCONS_00055922
Ortho10621	Gorilla	TCONS_00026581	gor_TCONS_00026581	Human	TCONS_00055921
Ortho10622	Gorilla	TCONS_00026591	gor_TCONS_00026591	Human	TCONS_00055900
Ortho10623	Gorilla	TCONS_00026591	gor_TCONS_00026591	Human	TCONS_00055901
Ortho10624	Gorilla	TCONS_00026635	gor_TCONS_00026635	Human	TCONS_00055786
Ortho10625	Gorilla	TCONS_00026636	gor_TCONS_00026636	Human	TCONS_00055786
Ortho10626	Gorilla	TCONS_00026637	gor_TCONS_00026637	Human	TCONS_00055786
Ortho10627	Gorilla	TCONS_00026638	gor_TCONS_00026638	Human	TCONS_00055786
Ortho10628	Gorilla	TCONS_00026639	gor_TCONS_00026639	Human	TCONS_00055786
Ortho10629	Gorilla	TCONS_00026639	gor_TCONS_00026639	Human	TCONS_00055787
Ortho10630	Gorilla	TCONS_00026640	gor_TCONS_00026640	Human	TCONS_00055786
Ortho10631	Gorilla	TCONS_00026647	gor_TCONS_00026647	Human	TCONS_00055766
Ortho10632	Gorilla	TCONS_00026696	gor_TCONS_00026696	Human	TCONS_00057569
Ortho10633	Gorilla	TCONS_00026696	gor_TCONS_00026696	Human	TCONS_00098741
Ortho10634	Gorilla	TCONS_00026696	gor_TCONS_00026696	Human	TCONS_00100718
Ortho10635	Gorilla	TCONS_00026696	gor_TCONS_00026696	Human	TCONS_00100721
Ortho10636	Gorilla	TCONS_00026696	gor_TCONS_00026696	Human	TCONS_00100723
Ortho10637	Gorilla	TCONS_00026696	gor_TCONS_00026696	Human	TCONS_00100724
Ortho10638	Gorilla	TCONS_00026697	gor_TCONS_00026697	Human	TCONS_00057569
Ortho10639	Gorilla	TCONS_00026697	gor_TCONS_00026697	Human	TCONS_00098741
Ortho10640	Gorilla	TCONS_00026697	gor_TCONS_00026697	Human	TCONS_00100718
Ortho10641	Gorilla	TCONS_00026697	gor_TCONS_00026697	Human	TCONS_00100721
Ortho10642	Gorilla	TCONS_00026697	gor_TCONS_00026697	Human	TCONS_00100723
Ortho10643	Gorilla	TCONS_00026697	gor_TCONS_00026697	Human	TCONS_00100724
Ortho10644	Gorilla	TCONS_00026707	gor_TCONS_00026707	Human	TCONS_00057603
Ortho10645	Gorilla	TCONS_00026745	gor_TCONS_00026745	Human	TCONS_00057699
Ortho10646	Gorilla	TCONS_00026746	gor_TCONS_00026746	Human	TCONS_00057698
Ortho10647	Gorilla	TCONS_00026746	gor_TCONS_00026746	Human	TCONS_00057699
Ortho10648	Gorilla	TCONS_00026746	gor_TCONS_00026746	Human	TCONS_00057701
Ortho10649	Gorilla	TCONS_00026754	gor_TCONS_00026754	Human	TCONS_00057728
Ortho10650	Gorilla	TCONS_00026755	gor_TCONS_00026755	Human	TCONS_00057728
Ortho10651	Gorilla	TCONS_00026796	gor_TCONS_00026796	Human	TCONS_00061770
Ortho10652	Gorilla	TCONS_00026799	gor_TCONS_00026799	Human	TCONS_00027819
Ortho10653	Gorilla	TCONS_00026799	gor_TCONS_00026799	Human	TCONS_00027820
Ortho10654	Gorilla	TCONS_00026799	gor_TCONS_00026799	Human	TCONS_00029689
Ortho10655	Gorilla	TCONS_00026905	gor_TCONS_00026905	Human	TCONS_00058055
Ortho10656	Gorilla	TCONS_00026905	gor_TCONS_00026905	Human	TCONS_00058056
Ortho10657	Gorilla	TCONS_00026909	gor_TCONS_00026909	Human	TCONS_00058075
Ortho10658	Gorilla	TCONS_00026910	gor_TCONS_00026910	Human	TCONS_00058077
Ortho10659	Gorilla	TCONS_00027022	gor_TCONS_00027022	Human	TCONS_00058302
Ortho10660	Gorilla	TCONS_00027022	gor_TCONS_00027022	Human	TCONS_00058305
Ortho10661	Gorilla	TCONS_00027044	gor_TCONS_00027044	Human	TCONS_00058370
Ortho10662	Gorilla	TCONS_00027088	gor_TCONS_00027088	Human	TCONS_00058468
Ortho10663	Gorilla	TCONS_00027260	gor_TCONS_00027260	Human	TCONS_00058890
Ortho10664	Gorilla	TCONS_00027260	gor_TCONS_00027260	Human	TCONS_00058891
Ortho10665	Gorilla	TCONS_00027260	gor_TCONS_00027260	Human	TCONS_00058892
Ortho10666	Gorilla	TCONS_00027338	gor_TCONS_00027338	Human	TCONS_00059099
Ortho10667	Gorilla	TCONS_00027339	gor_TCONS_00027339	Human	TCONS_00059103
Ortho10668	Gorilla	TCONS_00027339	gor_TCONS_00027339	Human	TCONS_00059104
Ortho10669	Gorilla	TCONS_00027341	gor_TCONS_00027341	Human	TCONS_00059105
Ortho10670	Gorilla	TCONS_00027343	gor_TCONS_00027343	Human	TCONS_00059115
Ortho10671	Gorilla	TCONS_00027399	gor_TCONS_00027399	Human	TCONS_00059234
Ortho10672	Gorilla	TCONS_00027436	gor_TCONS_00027436	Human	TCONS_00059299
Ortho10673	Gorilla	TCONS_00027436	gor_TCONS_00027436	Human	TCONS_00059301
Ortho10674	Gorilla	TCONS_00027436	gor_TCONS_00027436	Human	TCONS_00059302
Ortho10675	Gorilla	TCONS_00027436	gor_TCONS_00027436	Human	TCONS_00059303
Ortho10676	Gorilla	TCONS_00027436	gor_TCONS_00027436	Human	TCONS_00059311
Ortho10677	Gorilla	TCONS_00027436	gor_TCONS_00027436	Human	TCONS_00059312
Ortho10678	Gorilla	TCONS_00027436	gor_TCONS_00027436	Human	TCONS_00059313
Ortho10679	Gorilla	TCONS_00027436	gor_TCONS_00027436	Human	TCONS_00059314
Ortho10680	Gorilla	TCONS_00027436	gor_TCONS_00027436	Human	TCONS_00059319
Ortho10681	Gorilla	TCONS_00027461	gor_TCONS_00027461	Human	TCONS_00059378
Ortho10682	Gorilla	TCONS_00027490	gor_TCONS_00027490	Human	TCONS_00059454
Ortho10683	Gorilla	TCONS_00027491	gor_TCONS_00027491	Human	TCONS_00059456
Ortho10684	Gorilla	TCONS_00027496	gor_TCONS_00027496	Human	TCONS_00059469
Ortho10685	Gorilla	TCONS_00027514	gor_TCONS_00027514	Human	TCONS_00060146
Ortho10686	Gorilla	TCONS_00027514	gor_TCONS_00027514	Human	TCONS_00060147
Ortho10687	Gorilla	TCONS_00027554	gor_TCONS_00027554	Human	TCONS_00059609
Ortho10688	Gorilla	TCONS_00027576	gor_TCONS_00027576	Human	TCONS_00061604
Ortho10689	Gorilla	TCONS_00027589	gor_TCONS_00027589	Human	TCONS_00061609
Ortho10690	Gorilla	TCONS_00027611	gor_TCONS_00027611	Human	TCONS_00057728
Ortho10691	Gorilla	TCONS_00027612	gor_TCONS_00027612	Human	TCONS_00057728
Ortho10692	Gorilla	TCONS_00027633	gor_TCONS_00027633	Human	TCONS_00061688
Ortho10693	Gorilla	TCONS_00027634	gor_TCONS_00027634	Human	TCONS_00061688
Ortho10694	Gorilla	TCONS_00027635	gor_TCONS_00027635	Human	TCONS_00061688
Ortho10695	Gorilla	TCONS_00027656	gor_TCONS_00027656	Human	TCONS_00061771
Ortho10696	Gorilla	TCONS_00027656	gor_TCONS_00027656	Human	TCONS_00061772
Ortho10697	Gorilla	TCONS_00027656	gor_TCONS_00027656	Human	TCONS_00061773
Ortho10698	Gorilla	TCONS_00027656	gor_TCONS_00027656	Human	TCONS_00061774
Ortho10699	Gorilla	TCONS_00027701	gor_TCONS_00027701	Human	TCONS_00061858
Ortho10700	Gorilla	TCONS_00027701	gor_TCONS_00027701	Human	TCONS_00061859
Ortho10701	Gorilla	TCONS_00027720	gor_TCONS_00027720	Human	TCONS_00061887
Ortho10702	Gorilla	TCONS_00027896	gor_TCONS_00027896	Human	TCONS_00062193
Ortho10703	Gorilla	TCONS_00027896	gor_TCONS_00027896	Human	TCONS_00062194
Ortho10704	Gorilla	TCONS_00027897	gor_TCONS_00027897	Human	TCONS_00062192
Ortho10705	Gorilla	TCONS_00027897	gor_TCONS_00027897	Human	TCONS_00062193
Ortho10706	Gorilla	TCONS_00027898	gor_TCONS_00027898	Human	TCONS_00062193
Ortho10707	Gorilla	TCONS_00027898	gor_TCONS_00027898	Human	TCONS_00062194
Ortho10708	Gorilla	TCONS_00027920	gor_TCONS_00027920	Human	TCONS_00062273
Ortho10709	Gorilla	TCONS_00027920	gor_TCONS_00027920	Human	TCONS_00062274
Ortho10710	Gorilla	TCONS_00027920	gor_TCONS_00027920	Human	TCONS_00062275
Ortho10711	Gorilla	TCONS_00027920	gor_TCONS_00027920	Human	TCONS_00062276
Ortho10712	Gorilla	TCONS_00027921	gor_TCONS_00027921	Human	TCONS_00062273
Ortho10713	Gorilla	TCONS_00027921	gor_TCONS_00027921	Human	TCONS_00062274
Ortho10714	Gorilla	TCONS_00027921	gor_TCONS_00027921	Human	TCONS_00062275
Ortho10715	Gorilla	TCONS_00027921	gor_TCONS_00027921	Human	TCONS_00062276
Ortho10716	Gorilla	TCONS_00027932	gor_TCONS_00027932	Human	TCONS_00062281
Ortho10717	Gorilla	TCONS_00027935	gor_TCONS_00027935	Human	TCONS_00062296
Ortho10718	Gorilla	TCONS_00027935	gor_TCONS_00027935	Human	TCONS_00062297
Ortho10719	Gorilla	TCONS_00028023	gor_TCONS_00028023	Human	TCONS_00062418
Ortho10720	Gorilla	TCONS_00028024	gor_TCONS_00028024	Human	TCONS_00062420
Ortho10721	Gorilla	TCONS_00028026	gor_TCONS_00028026	Human	TCONS_00062425
Ortho10722	Gorilla	TCONS_00028026	gor_TCONS_00028026	Human	TCONS_00062426
Ortho10723	Gorilla	TCONS_00028045	gor_TCONS_00028045	Human	TCONS_00062459
Ortho10724	Gorilla	TCONS_00028086	gor_TCONS_00028086	Human	TCONS_00062549
Ortho10725	Gorilla	TCONS_00028219	gor_TCONS_00028219	Human	TCONS_00062794
Ortho10726	Gorilla	TCONS_00028301	gor_TCONS_00028301	Human	TCONS_00063010
Ortho10727	Gorilla	TCONS_00028409	gor_TCONS_00028409	Human	TCONS_00023220
Ortho10728	Gorilla	TCONS_00028409	gor_TCONS_00028409	Human	TCONS_00063271
Ortho10729	Gorilla	TCONS_00028409	gor_TCONS_00028409	Human	TCONS_00072001
Ortho10730	Gorilla	TCONS_00028418	gor_TCONS_00028418	Human	TCONS_00069523
Ortho10731	Gorilla	TCONS_00028457	gor_TCONS_00028457	Human	TCONS_00069607
Ortho10732	Gorilla	TCONS_00028560	gor_TCONS_00028560	Human	TCONS_00069793
Ortho10733	Gorilla	TCONS_00028594	gor_TCONS_00028594	Human	TCONS_00069879
Ortho10734	Gorilla	TCONS_00028599	gor_TCONS_00028599	Human	TCONS_00069891
Ortho10735	Gorilla	TCONS_00028610	gor_TCONS_00028610	Human	TCONS_00069914
Ortho10736	Gorilla	TCONS_00028610	gor_TCONS_00028610	Human	TCONS_00069915
Ortho10737	Gorilla	TCONS_00028672	gor_TCONS_00028672	Human	TCONS_00070048
Ortho10738	Gorilla	TCONS_00028672	gor_TCONS_00028672	Human	TCONS_00070051
Ortho10739	Gorilla	TCONS_00028735	gor_TCONS_00028735	Human	TCONS_00070196
Ortho10740	Gorilla	TCONS_00028833	gor_TCONS_00028833	Human	TCONS_00070414
Ortho10741	Gorilla	TCONS_00028885	gor_TCONS_00028885	Human	TCONS_00070558
Ortho10742	Gorilla	TCONS_00028885	gor_TCONS_00028885	Human	TCONS_00070560
Ortho10743	Gorilla	TCONS_00028885	gor_TCONS_00028885	Human	TCONS_00070561
Ortho10744	Gorilla	TCONS_00028979	gor_TCONS_00028979	Human	TCONS_00070725
Ortho10745	Gorilla	TCONS_00029019	gor_TCONS_00029019	Human	TCONS_00070828
Ortho10746	Gorilla	TCONS_00029039	gor_TCONS_00029039	Human	TCONS_00070879
Ortho10747	Gorilla	TCONS_00029039	gor_TCONS_00029039	Human	TCONS_00070886
Ortho10748	Gorilla	TCONS_00029039	gor_TCONS_00029039	Human	TCONS_00094289
Ortho10749	Gorilla	TCONS_00029108	gor_TCONS_00029108	Human	TCONS_00071063
Ortho10750	Gorilla	TCONS_00029195	gor_TCONS_00029195	Human	TCONS_00071282
Ortho10751	Gorilla	TCONS_00029207	gor_TCONS_00029207	Human	TCONS_00071305
Ortho10752	Gorilla	TCONS_00029213	gor_TCONS_00029213	Human	TCONS_00071311
Ortho10753	Gorilla	TCONS_00029213	gor_TCONS_00029213	Human	TCONS_00071318
Ortho10754	Gorilla	TCONS_00029223	gor_TCONS_00029223	Human	TCONS_00071352
Ortho10755	Gorilla	TCONS_00029224	gor_TCONS_00029224	Human	TCONS_00071352
Ortho10756	Gorilla	TCONS_00029225	gor_TCONS_00029225	Human	TCONS_00071352
Ortho10757	Gorilla	TCONS_00029373	gor_TCONS_00029373	Human	TCONS_00071648
Ortho10758	Gorilla	TCONS_00029373	gor_TCONS_00029373	Human	TCONS_00071649
Ortho10759	Gorilla	TCONS_00029373	gor_TCONS_00029373	Human	TCONS_00071651
Ortho10760	Gorilla	TCONS_00029374	gor_TCONS_00029374	Human	TCONS_00071648
Ortho10761	Gorilla	TCONS_00029374	gor_TCONS_00029374	Human	TCONS_00071649
Ortho10762	Gorilla	TCONS_00029374	gor_TCONS_00029374	Human	TCONS_00071651
Ortho10763	Gorilla	TCONS_00029375	gor_TCONS_00029375	Human	TCONS_00071648
Ortho10764	Gorilla	TCONS_00029375	gor_TCONS_00029375	Human	TCONS_00071649
Ortho10765	Gorilla	TCONS_00029375	gor_TCONS_00029375	Human	TCONS_00071651
Ortho10766	Gorilla	TCONS_00029376	gor_TCONS_00029376	Human	TCONS_00071648
Ortho10767	Gorilla	TCONS_00029376	gor_TCONS_00029376	Human	TCONS_00071649
Ortho10768	Gorilla	TCONS_00029376	gor_TCONS_00029376	Human	TCONS_00071651
Ortho10769	Gorilla	TCONS_00029413	gor_TCONS_00029413	Human	TCONS_00071748
Ortho10770	Gorilla	TCONS_00029413	gor_TCONS_00029413	Human	TCONS_00071749
Ortho10771	Gorilla	TCONS_00029430	gor_TCONS_00029430	Human	TCONS_00071803
Ortho10772	Gorilla	TCONS_00029430	gor_TCONS_00029430	Human	TCONS_00071804
Ortho10773	Gorilla	TCONS_00029430	gor_TCONS_00029430	Human	TCONS_00071805
Ortho10774	Gorilla	TCONS_00029441	gor_TCONS_00029441	Human	TCONS_00007141
Ortho10775	Gorilla	TCONS_00029441	gor_TCONS_00029441	Human	TCONS_00022290
Ortho10776	Gorilla	TCONS_00029441	gor_TCONS_00029441	Human	TCONS_00079027
Ortho10777	Gorilla	TCONS_00029441	gor_TCONS_00029441	Human	TCONS_00082958
Ortho10778	Gorilla	TCONS_00029507	gor_TCONS_00029507	Human	TCONS_00023220
Ortho10779	Gorilla	TCONS_00029507	gor_TCONS_00029507	Human	TCONS_00072001
Ortho10780	Gorilla	TCONS_00029508	gor_TCONS_00029508	Human	TCONS_00023220
Ortho10781	Gorilla	TCONS_00029508	gor_TCONS_00029508	Human	TCONS_00063271
Ortho10782	Gorilla	TCONS_00029508	gor_TCONS_00029508	Human	TCONS_00072001
Ortho10783	Gorilla	TCONS_00029546	gor_TCONS_00029546	Human	TCONS_00072092
Ortho10784	Gorilla	TCONS_00029547	gor_TCONS_00029547	Human	TCONS_00072094
Ortho10785	Gorilla	TCONS_00029547	gor_TCONS_00029547	Human	TCONS_00072095
Ortho10786	Gorilla	TCONS_00029547	gor_TCONS_00029547	Human	TCONS_00072096
Ortho10787	Gorilla	TCONS_00029547	gor_TCONS_00029547	Human	TCONS_00072097
Ortho10788	Gorilla	TCONS_00029547	gor_TCONS_00029547	Human	TCONS_00072098
Ortho10789	Gorilla	TCONS_00029547	gor_TCONS_00029547	Human	TCONS_00072099
Ortho10790	Gorilla	TCONS_00029547	gor_TCONS_00029547	Human	TCONS_00072101
Ortho10791	Gorilla	TCONS_00029547	gor_TCONS_00029547	Human	TCONS_00072102
Ortho10792	Gorilla	TCONS_00029556	gor_TCONS_00029556	Human	TCONS_00072119
Ortho10793	Gorilla	TCONS_00029650	gor_TCONS_00029650	Human	TCONS_00072341
Ortho10794	Gorilla	TCONS_00029650	gor_TCONS_00029650	Human	TCONS_00072342
Ortho10795	Gorilla	TCONS_00029650	gor_TCONS_00029650	Human	TCONS_00072343
Ortho10796	Gorilla	TCONS_00029650	gor_TCONS_00029650	Human	TCONS_00072344
Ortho10797	Gorilla	TCONS_00029650	gor_TCONS_00029650	Human	TCONS_00072348
Ortho10798	Gorilla	TCONS_00029651	gor_TCONS_00029651	Human	TCONS_00072349
Ortho10799	Gorilla	TCONS_00029652	gor_TCONS_00029652	Human	TCONS_00072341
Ortho10800	Gorilla	TCONS_00029652	gor_TCONS_00029652	Human	TCONS_00072342
Ortho10801	Gorilla	TCONS_00029652	gor_TCONS_00029652	Human	TCONS_00072343
Ortho10802	Gorilla	TCONS_00029652	gor_TCONS_00029652	Human	TCONS_00072344
Ortho10803	Gorilla	TCONS_00029652	gor_TCONS_00029652	Human	TCONS_00072348
Ortho10804	Gorilla	TCONS_00029653	gor_TCONS_00029653	Human	TCONS_00072341
Ortho10805	Gorilla	TCONS_00029653	gor_TCONS_00029653	Human	TCONS_00072342
Ortho10806	Gorilla	TCONS_00029653	gor_TCONS_00029653	Human	TCONS_00072343
Ortho10807	Gorilla	TCONS_00029653	gor_TCONS_00029653	Human	TCONS_00072344
Ortho10808	Gorilla	TCONS_00029653	gor_TCONS_00029653	Human	TCONS_00072348
Ortho10809	Gorilla	TCONS_00029655	gor_TCONS_00029655	Human	TCONS_00072349
Ortho10810	Gorilla	TCONS_00029665	gor_TCONS_00029665	Human	TCONS_00072364
Ortho10811	Gorilla	TCONS_00029667	gor_TCONS_00029667	Human	TCONS_00072365
Ortho10812	Gorilla	TCONS_00029667	gor_TCONS_00029667	Human	TCONS_00072366
Ortho10813	Gorilla	TCONS_00029670	gor_TCONS_00029670	Human	TCONS_00072381
Ortho10814	Gorilla	TCONS_00029671	gor_TCONS_00029671	Human	TCONS_00072381
Ortho10815	Gorilla	TCONS_00029680	gor_TCONS_00029680	Human	TCONS_00075394
Ortho10816	Gorilla	TCONS_00029693	gor_TCONS_00029693	Human	TCONS_00072457
